time(cc),altitude,GPS t,lat,lon,request1,request2,grade,errors
77865,211,500000,30.5,36,0,32,0.3,0
77866,211,500001,30.501,36,0,32,0.3,322
77867,211,500002,30.502,36,0,32,0.3,322
77868,211,500003,30.503,36,0,32,0.3,322
77869,211,500004,30.504,36,0,32,0.3,0
77870,211,500005,30.505,36,0,32,0.3,0
77871,211,500006,30.506,36,0,32,0.3,0
77872,211,500007,30.507,36,0,32,0.3,0
77873,211,500008,30.508,36,0,32,0.3,0
77874,211,500009,30.509,36,0,32,0.3,0
77875,211,500010,30.51,36,0,32,0.3,0
77876,211,500011,30.511,36,0,55,0.3,0
77877,211,500012,30.512,36,0,55,0.3,0
77878,211,500013,30.513,36,0,55,0.3,0
77879,211,500014,30.514,36,0,55,0.3,412
77880,211,500015,30.515,36,0,55,0.3,412
77881,211,500016,30.516,36,0,55,0.3,412
77882,211,500017,30.517,36,0,55,0.3,100
77883,211,500018,30.518,36,0,55,0.3,150
77884,211,500019,30.519,36,0,55,0.3,0
77885,211,500020,30.52,36,0,55,0.3,0
77886,211,500021,30.521,36,0,55,0.3,0
77887,211,500022,30.522,36,0,55,0.3,0
77888,211,500023,30.523,36,0,55,0.4,0
77889,211,500024,30.524,36,0,55,0.4,0
77890,211,500025,30.525,36,0,55,0.4,0
77891,211,500026,30.526,36,0,55,0.4,0
77892,211,500027,30.527,36,0,55,0.4,0
77893,211,500028,30.528,36,0,55,0.4,0
77894,211,500029,30.529,36,12,55,0.4,0
77895,211,500030,30.53,36,12,55,0.4,0
77896,211,500031,30.531,36,12,55,0.4,0
77897,211,500032,30.532,36,12,55,0.4,0
77898,211,500033,30.533,36,12,55,0.4,0
77899,211,500034,30.534,36,12,55,0.4,0
77900,211,500035,30.535,36,12,55,0.4,0
77901,211,500036,30.536,36,12,55,0.4,0
77902,211,500037,30.537,36,12,55,0.4,0
77903,211,500038,30.538,36,12,55,0.4,0
77904,211,500039,30.539,36,12,55,0.4,0
77905,211,500040,30.54,36,12,55,0.4,0
77906,211,500041,30.541,36,12,55,0.4,0
77907,211,500042,30.542,36,12,55,0.4,0
77908,211,500043,30.543,36,12,55,0.4,0
77909,211,500044,30.544,36,12,55,0.4,0
77910,211,500045,30.545,36,12,55,0.4,0
77911,211,500046,30.546,36,12,55,0.4,0
77912,211,500047,30.547,36,12,55,0.4,0
77913,211,500048,30.548,36,12,55,0.4,0
77914,211,500049,30.549,36,12,55,0.4,0
77915,211,500050,30.55,36,12,55,0.2,0
77916,211,500051,30.551,36,12,55,0.2,0
77917,211,500052,30.552,36,12,55,0.2,0
77918,211,500053,30.553,36,12,55,0.2,0
77919,211,500054,30.554,36,12,55,0.2,0
77920,211,500055,30.555,36,12,55,0.2,0
77921,211,500056,30.556,36,12,55,0.2,0
77922,211,500057,30.557,36,12,55,0.2,0
77923,211,500058,30.558,36,12,55,0.2,0
77924,211,500059,30.559,36,12,55,0.2,0
77925,211,500060,30.56,36,12,55,0.2,0
77926,211,500061,30.561,36,12,55,0.2,0
77927,211,500062,30.562,36,12,55,0.2,0
77928,211,500063,30.563,36,12,55,0.2,0
77929,211,500064,30.564,36,12,55,0.2,0
77930,211,500065,30.565,36,12,55,0.2,0
77931,211,500066,30.566,36,12,55,0.2,0
77932,211,500067,30.567,36,12,55,0.2,0
77933,211,500068,30.568,36,12,55,0.2,0
77934,211,500069,30.569,36,12,55,0.2,0
77935,211,500070,30.57,36,12,55,0.2,0
77936,211,500071,30.571,36,12,55,0.2,0
77937,211,500072,30.572,36,12,55,0.2,0
77938,211,500073,30.573,36,12,55,0.2,0
77939,211,500074,30.574,36,12,55,0.2,0
77940,211,500075,30.575,36,12,55,0.2,0
77941,211,500076,30.576,36,12,55,0.2,0
77942,211,500077,30.577,36,12,55,0.2,0
77943,211,500078,30.578,36,12,14,0.2,0
77944,211,500079,30.579,36,12,14,0.2,0
77945,211,500080,30.58,36,12,14,0.2,0
77946,211,500081,30.581,36,12,14,0.2,0
77947,211,500082,30.582,36,12,14,0.2,0
77948,211,500083,30.583,36,12,14,0.2,0
77949,211,500084,30.584,36,12,14,0.2,0
77950,211,500085,30.585,36,12,14,0.2,0
77951,211,500086,30.586,36,12,14,0.2,0
77952,211,500087,30.587,36,12,14,0.2,0
77953,211,500088,30.588,36,12,14,0.2,0
77954,211,500089,30.589,36,12,14,0.2,0
77955,211,500090,30.59,36,12,14,0.2,0
77956,211,500091,30.591,36,12,14,0.2,0
77957,211,500092,30.592,36,12,14,0.2,0
77958,211,500093,30.593,36,12,14,0.2,0
77959,211,500094,30.594,36,12,14,0.2,0
77960,211,500095,30.595,36,12,14,0.2,0
77961,211,500096,30.596,36,12,14,0.2,0
77962,211,500097,30.597,36,12,14,0.2,0
77963,211,500098,30.598,36,12,14,0.2,0
77964,211,500099,30.599,36,12,14,0.2,0
77965,211,500100,30.6,36,12,14,0.2,0
77966,211,500101,30.601,36,12,14,0.2,0
77967,211,500102,30.602,36,12,14,0.2,0
77968,211,500103,30.603,36,12,14,0.2,0
77969,211,500104,30.604,36,12,14,0.2,0
77970,211,500105,30.605,36,12,14,0.2,0
77971,211,500106,30.606,36,12,14,0.2,0
77972,211,500107,30.607,36,12,14,0.2,0
77973,211,500108,30.608,36,12,14,0.2,0
77974,211,500109,30.609,36,12,14,0.2,0
77975,211,500110,30.61,36,12,14,0.2,0
77976,211,500111,30.611,36,12,14,0.2,0
77977,211,500112,30.612,36,12,14,0.2,0
77978,211,500113,30.613,36,12,14,0.2,0
77979,211,500114,30.614,36,12,14,0.2,0
77980,211,500115,30.615,36,12,14,0.2,0
77981,211,500116,30.616,36,12,14,0.2,0
77982,211,500117,30.617,36,12,14,0.2,0
77983,211,500118,30.618,36,12,14,0.2,0
77984,211,500119,30.619,36,12,14,0.2,0
77985,211,500120,30.62,36,12,14,0.2,0
77986,211,500121,30.621,36,12,14,0.2,0
77987,211,500122,30.622,36,12,14,0.2,0
77988,211,500123,30.623,36,12,14,0.2,0
77989,211,500124,30.624,36,12,14,0.2,0
77990,211,500125,30.625,36,12,14,0.2,0
77991,211,500126,30.626,36,12,14,0.2,0
77992,211,500127,30.627,36,12,14,0.2,0
77993,211,500128,30.628,36,12,14,0.2,0
77994,211,500129,30.629,36,12,14,0.2,0
77995,211,500130,30.63,36,12,14,0.2,0
77996,211,500131,30.631,36,12,14,0.2,0
77997,211,500132,30.632,36,12,14,0.2,0
77998,211,500133,30.633,36,12,14,0.2,0
77999,211,500134,30.634,36,12,14,0.2,0
78000,211,500135,30.635,36,12,14,0.2,0
78001,211,500136,30.636,36,12,14,0.2,0
78002,211,500137,30.637,36,12,14,0.2,0
78003,211,500138,30.638,36,12,14,0.2,0
78004,211,500139,30.639,36,12,14,0.2,0
78005,211,500140,30.64,36,12,14,0.2,0
78006,211,500141,30.641,36,12,14,0.2,0
78007,211,500142,30.642,36,12,14,0.2,0
78008,211,500143,30.643,36,12,14,0.2,0
78009,211,500144,30.644,36,12,14,0.2,0
78010,211,500145,30.645,36,12,14,0.2,0
78011,211,500146,30.646,36,12,14,0.2,0
78012,211,500147,30.647,36,12,14,0.2,0
78013,211,500148,30.648,36,12,14,0.2,0
78014,211,500149,30.649,36,12,14,0.2,0
78015,211,500150,30.65,36,12,14,0.2,0
78016,211,500151,30.651,36,12,14,0.2,0
78017,211,500152,30.652,36,12,14,0.2,0
78018,211,500153,30.653,36,12,14,0.2,0
78019,211,500154,30.654,36,12,14,0.2,0
78020,211,500155,30.655,36,12,14,0.2,0
78021,211,500156,30.656,36,12,14,0.2,0
78022,211,500157,30.657,36,12,14,0.2,0
78023,211,500158,30.658,36,12,14,0.2,0
78024,211,500159,30.659,36,12,14,0.2,0
78025,211,500160,30.66,36,12,14,0.2,0
78026,211,500161,30.661,36,12,14,0.2,0
78027,211,500162,30.662,36,12,14,0.2,0
78028,211,500163,30.663,36,12,14,0.2,0
78029,211,500164,30.664,36,12,14,0.2,0
78030,211,500165,30.665,36,12,14,0.2,0
78031,211,500166,30.666,36,12,14,0.2,0
78032,211,500167,30.667,36,12,14,0.2,0
78033,211,500168,30.668,36,12,14,0.2,0
78034,211,500169,30.669,36,12,14,0.2,0
78035,211,500170,30.67,36,12,14,0.2,0
78036,211,500171,30.671,36,12,14,0.2,0
78037,211,500172,30.672,36,12,14,0.2,0
78038,211,500173,30.673,36,12,14,0.2,0
78039,211,500174,30.674,36,12,14,0.2,0
78040,211,500175,30.675,36,12,14,0.2,0
78041,211,500176,30.676,36,12,14,0.2,0
78042,211,500177,30.677,36,12,14,0.2,0
78043,211,500178,30.678,36,12,14,0.2,0
78044,211,500179,30.679,36,12,14,0.2,0
78045,211,500180,30.68,36,12,14,0.2,0
78046,211,500181,30.681,36,12,14,0.2,0
78047,211,500182,30.682,36,12,14,0.2,0
78048,211,500183,30.683,36,12,14,0.2,0
78049,211,500184,30.684,36,12,14,0.2,0
78050,211,500185,30.685,36,12,14,0.2,0
78051,211,500186,30.686,36,12,14,0.2,0
78052,211,500187,30.687,36,12,14,0.2,0
78053,211,500188,30.688,36,12,14,0.2,0
78054,211,500189,30.689,36,12,14,0.2,0
78055,211,500190,30.69,36,12,14,0.2,0
78056,211,500191,30.691,36,12,14,0.2,0
78057,211,500192,30.692,36,12,14,0.2,0
78058,211,500193,30.693,36,12,14,0.2,0
78059,211,500194,30.694,36,12,14,0.2,0
78060,211,500195,30.695,36,12,14,0.2,0
78061,211,500196,30.696,36,12,14,0.2,0
78062,211,500197,30.697,36,12,14,0.2,0
78063,211,500198,30.698,36,12,14,0.2,0
78064,211,500199,30.699,36,12,14,0.2,0
78065,211,500200,30.7,36,12,14,0.2,0
78066,211,500201,30.701,36,12,14,0.2,0
78067,211,500202,30.702,36,12,14,0.2,0
